tweet,likes_count,tweetFiltrado,topico
russian mp says #poland is next in line for de-nazification. they support #ukraine too much. #russia is a danger and a threat. their aggression will never stop until the country is reformed from the inside,9175,mp poland denazification support ukraine danger threat aggression will country reformed inside,0
"a historic building is on fire in the center of #irkutsk, #russia.  https://t.co/41de8oxdea",8981,historic building fire center irkutsk,9
#russia church blesses weapons russian army uses to kill ukrainians. they even blessed a missile dubbed satan. the insanity continues   https://t.co/cdzvsus2mc,8402,church blesses weapon army kill ukrainian blessed missile dubbed satan insanity continues,3
an absolute disastrous russian attempt to cross the seversky donets river in donetsk oblast. a defeat handed out by ukraine’s 17th separate tank brigade.   @stepan_klimov  #russia #ukraine  https://t.co/fbmeivqbky,8359,absolute disastrous attempt cross seversky donets river donetsk oblast defeat handed ukraine separate tank brigade stepanklimov ukraine,7
ukrainian military unit pushed #russia back to the border and reinstalled #ukraine border sign. #kharkiv region. it’s a start. more work to be done on this  https://t.co/br3s3egwkt,8358,ukrainian military unit pushed border reinstalled ukraine border sign kharkiv region start work,7
ukrainian paratrooper destroying a russian tank with a fgm-148 javelin during the battles at the eastern front. #russia #ukraine  https://t.co/giwddvvscm,8326,ukrainian paratrooper destroying tank fgm javelin battle eastern front ukraine,7
"mcdonalds announced that it has made the final decision to leave #russia, the company's business in russia will be sold.  https://t.co/dpku2rz2wn",8098,mcdonalds announced final decision leave company business will sold,5
rarely seen footage of ukrainian forces launching brimstone missiles toward russian targets.  h/t @globalgeonews  #russia #ukraine  https://t.co/eihiuw2g3u,7351,rarely footage ukrainian force launching brimstone missile target ht globalgeonews ukraine,7
"justin trudeau, jill biden, bono and u2, and a few other high ranking officials from different countries all in #ukraine during very critical days. the international presence sends a clear message to #russia: you attack ukraine, you attack us",6936,justin trudeau jill biden bono high ranking official country ukraine critical day international presence sends clear message attack ukraine attack,0
#russia is furious about #nato enlargement and is desperately searching  for ways to stop it. maybe it could try not to attack or occupy neighbours? may be that would help?,6638,furious nato enlargement desperately searching way attack occupy neighbour help,8
"this belgian shepherd dog used to serve in the national guard of #russia until its former owners have been liquidated.   the dog learned commands in #ukrainian in just a month and will soon join the ukrainian national guard, reports newspaper segodnya.  https://t.co/48pk50c8ad",6539,belgian shepherd dog serve national guard owner liquidated dog learned command ukrainian month will join ukrainian national guard report newspaper segodnya,7
"27200 #russia soldiers killed in #ukraine. 1015 towns and villages freed by ukrainian army. still fighting for the people@of #mariupol, #kherson, #melitopol, #berdiansk",6508,soldier killed ukraine town village freed ukrainian army fighting peopleof mariupol kherson melitopol berdiansk,3
#ukraine: ukrainian forces destroyed a #russia-n bridging attempt on the seversky donets. a pontoon bridge and several vehicles were destroyed.  https://t.co/vik3m1mw5n,5663,ukraine ukrainian force destroyed bridging attempt seversky donets pontoon bridge vehicle destroyed,7
#ukrainian armed forces reinstalling the border pole between #russia and #ukraine in the #kharkiv oblast. the ukrainian armed forces pushed the russian troops back into their own country.  https://t.co/pznljrmo9p,5563,ukrainian armed force reinstalling border pole ukraine kharkiv oblast ukrainian armed force pushed troop country,7
"it is reported that shells that the #netherlands supplied to #ukraine bear the words ""revenge for mh17"". in 2014, a #russian buk downed flight #mh17 and killed all 298 passengers, most of whom were dutch. #russia denies its involvement and refuses to pay compensation.  https://t.co/lf2s2cov0y",5554,reported shell netherlands supplied ukraine bear word revenge mh  buk downed flight mh killed passenger dutch denies involvement refuse pay compensation,3
"#russia openly threatening war against poland  “state duma proposed putting #poland in line for denazification”, ria novosti reported.  well, you can try. just remember that after an attack on a #nato country, there will be an accelerated denazification of state duma.",5549,openly threatening war poland state duma proposed putting poland denazification ria novosti reported well remember attack nato country will accelerated denazification state duma,0
just in - mcdonald's to sell all its 850 stores in #russia.,5096, mcdonalds sell store,0
"the “whole world” is sanctioning #russia also, this is the new map of the world #fyi geez, i guess my bucket list got smaller. the world shrunk   https://t.co/jrqwft0ksv",5003,world sanctioning map world fyi geez guess bucket list smaller world shrunk,4
" the #czech republic was elected to the #un human rights council instead of #russia, which was kicked out in disgrace.  the czech republic will retain this seat until december 31, 2023.  https://t.co/nhbioi9tti",4990,czech republic elected human right council kicked disgrace czech republic will retain seat december  ,6
"quite a bit of talk about #putin and #russia having a “face saving” way out.    well given how badly they are doing, i say leave all ukrainian land and you can save your face.  or the ukrainians will keep crushing it. #slavaukraini",4958,bit talk putin face saving well badly leave ukrainian land save face ukrainian will keep crushing slavaukraini,7
" the #lithuanian parliament unanimously recognized #russia as a terrorist state, reports @lrtenglish.  the decision was taken in connection with numerous war crimes by #russian invaders in #ukraine. the occupiers' atrocities have all the hallmarks of organized genocide.  https://t.co/0ynlykyxrr",4777,lithuanian parliament unanimously recognized terrorist state report lrtenglish decision connection numerous war crime invader ukraine occupier atrocity hallmark organized genocide,1
"i came to kharkiv (&amp; the villages beyond) to report for @unhered.  on the northeastern front russian guns were firing from 2 sides, while russia itself is just over 20km away. out here you really understand the scale of #russia's  war on #ukraine . thread  https://t.co/d1aunumkl6",4734,kharkiv village report unhered northeastern front gun firing side understand scale russia war ukraine  thread,7
"after losing the battle for kyiv, #russia is losing the battle for kharkiv as well. now, let’s focus on the battle for donbas and go further south. putin is a loser.   #ukrainewillwin #russianukrainianwar #armukrainenow",4666,losing battle kyiv losing battle kharkiv well focus battle donbas south putin loser ukrainewillwin russianukrainianwar armukrainenow,7
rare combat footage of ukrainian serviceman finishing off a russian tank using a fgm-148 javelin missile. #russia #ukraine  https://t.co/oxmfvmhga3,4643,rare combat footage ukrainian serviceman finishing tank fgm javelin missile ukraine,7
9 may in #russia is about militarisation of society. children are dressed up as soldiers of an army that is no more. future generations are poisoned by fake myths. and war is normalized in the collective conscious of millions  https://t.co/ixsxsuifs6,4562,militarisation society child dressed soldier army future generation poisoned fake myth war normalized collective conscious million,3
video showing a russian armoured column of the 42nd guards motor rifle division coming under ukrainian attacks.  h/t @lostweapons  #russia #ukraine  https://t.co/a3j1txyv1y,4552,video showing armoured column guard motor rifle division coming ukrainian attack ht lostweapons ukraine,7
"#putin continues to say ‘no’ to the evacuation of the wounded soldiers from #azovstal. defying international law, ignoring rules of humanitarian law, showing savagery and brutality. the usual from #russia  https://t.co/uromti1nfa",4503,putin continues ‘no evacuation wounded soldier azovstal defying international law ignoring rule humanitarian law showing savagery brutality usual,3
"today, teletexts in #russia state: ""you have blood on your hands. thousands of #ukrainians and hundreds of their children have been killed. tv and the authorities lie. no to war"".  https://t.co/jgxdrizygy",4412,today teletexts state blood hand thousand ukrainian hundred child killed tv authority lie war,3
two russian bmps were destroyed after entering a minefield. #russia #ukraine  https://t.co/lp7tohhdr0,4326,bmps destroyed entering minefield ukraine,7
2100 missiles in less than 3 months. #russia continues to destroy all that is #ukraine,4037,missile month continues destroy ukraine,0
footage of the ukrainian special unit kraken during the counterattack operation in pytomnyk in kharkiv oblast a few days ago. #russia #ukraine  https://t.co/n1xtk94mrd,4032,footage ukrainian special unit kraken counterattack operation pytomnyk kharkiv oblast day ago ukraine,7
#russia: the #omsk conscription office was pelted with molotov cocktails thru windows at 4am last night. fire extinguished. much of the conscription database is stored on paper in such offices. 3rd-world country. these are #russianresistance attempts to prevent #mobilization.  https://t.co/rdl49lvn8h,3964,omsk conscription office pelted molotov cocktail window night fire extinguished conscription database stored paper office rdworld country russianresistance attempt prevent mobilization,9
"the wounded defenders of #azovstal, #mariupol.  no antibiotics, no painkillers.  #ukraine #russia #warcrimes  https://t.co/zgzfbkd0zv",3915,wounded defender azovstal mariupol antibiotic painkiller ukraine warcrimes,3
#poland blocked #russia from transporting gas from the #yamal-#europe pipeline on its territory.  #ukraine   https://t.co/jvnlnxw1yp,3893,poland blocked transporting gas yamaleurope pipeline territory ukraine,0
video : ukrainian forces setting a pontoon bridge somewhere in ukraine. date unknown. h/t @5inan_  #russia #ukraine  https://t.co/vq5crdofk0,3605,video  ukrainian force setting pontoon bridge ukraine unknown ht inan ukraine,4
"#ukraine: latvian volunteers, part of the ukrainian forces captured a #russia-n t-72b tank. exact location unknown  https://t.co/3zpkczga3m",3594,ukraine latvian volunteer ukrainian force captured tb tank exact location unknown,7
"annual inflation in #russia accelerated to 17.77% for the second week in a row, reports state-owned news agency tass.  https://t.co/zuutnbbyj9",3585,annual inflation accelerated  second week row report stateowned news agency ta,5
yet another successful operation from #ukraine tractor brigade. little green tractor abducting #russia tos-1 multiple rocket launcher  https://t.co/xtinjz3wpi,3563,successful operation ukraine tractor brigade green tractor abducting tos multiple rocket launcher,7
multiple reports say ukrainian troops reached the border with #russia in the #kharkiv oblast,3447,multiple report ukrainian troop reached border kharkiv oblast,7
#kharkiv was bombed upon orders of #russia general zhuravlev. the same one who commanded russian forces during the #aleppo bombings. the number of killings on that man’s hands …,3426,kharkiv bombed order general zhuravlev commanded force aleppo bombing number killing man hand,3
"#russia #may9th: the air force portion of the ""victory parade"" celebrating tens of millions who died in ww2 has been canceled due to ""inclement weather"" according to dmitry peskov, fascist putin's press secretary. so, there will be no planes participating in the circus. ",3424,mayth air force portion victory parade celebrating ten million died ww canceled inclement weather dmitry peskov fascist putin press secretary will plane participating circus,0
"in #warsaw, #poland, #russia's ambassador had red paint thrown onto him during a visit to a ww2 military cemetery:   https://t.co/9qel9qrckb",3389,warsaw poland russia ambassador red paint thrown visit ww military cemetery,0
"#polish president andrzej duda believes that #russia will be forced to pay reparations to #ukraine:   ""we deeply believe that the international community will force russia to pay an indemnity to rebuild what was destroyed in ukraine.""  https://t.co/trfddfkn8w",3377,polish president andrzej duda belief will forced pay reparation ukraine deeply international community will force pay indemnity rebuild destroyed ukraine,4
it costs the same to produce a t-72 as to build a new school in #russia. in 70 days 1050+ russsian tanks were destroyed in #ukraine. that’s 1050 schools and tens of thousands of children deprived of education facilities.,3361,cost produce t build school day  russsian tank destroyed ukraine school ten thousand child deprived education facility,3
"#russia: how the #may9th parade actually works: so he's not your relative? no, he's not. what was his achievement? ... this is just a sign... what do you mean ""just a sign""? it must mean something? they came to our classroom and handed them out for us to march in the parade.  https://t.co/trpfsdnhhb",3360,mayth parade work relative achievement  sign sign classroom handed march parade,0
ukrainian bm-27 uragan mrlss ripping russian military hardware into pieces. via @spiritofkabanah  #russia #ukraine  https://t.co/yylt42kbz4,3317,ukrainian bm uragan mrlss ripping military hardware piece spiritofkabanah ukraine,7
"#russia will annex kherson obl without even fake referendum. local puppet govern-t will address #putin and ru will issue a decree. what does it mean? 1) ru doesn’t feel stable on occupied areas, they can’t afford even fake referendum as in 2014. no local support at all",3304,will annex kherson obl fake referendum local puppet governt will address putin ru will issue decree  ru doesnt feel stable occupied area cant afford fake referendum  local support,3
three abandoned russian btrs along with a destroyed bmp and damaged mbt after a failed attack thwarted by ukraine’s 95th air assault brigade. #russia #ukraine  https://t.co/8v6xkqwi2x,3291,three abandoned btrs destroyed bmp damaged mbt failed attack thwarted ukraine air assault brigade ukraine,7
"#russia is going to withdraw its ambassador from #poland and expel the #polish ambassador from the country.  let the ambassador wash himself first, otherwise he has something with his face.",3255,going withdraw ambassador poland expel polish ambassador country ambassador wash face,0
" #japan bans exports of high-tech goods to #russia, reports ria novosti.   in particular, the ban will affect 3d printers, quantum computers and electron microscopes.  https://t.co/x1s4xjl50j",3216,japan ban export hightech good report ria novosti ban will affect printer quantum computer electron microscope,5
"#russia: 8 hours north of the #kremlin in #cherepovets, another conscription office set on fire. much of the data is not electronic in the 3rd world country that is russia, so these sabotages directly impact putin's ability to mobilize through destruction of paper records.   https://t.co/wd6xtgiqmr",3211,hour north kremlin cherepovets conscription office set fire data electronic world country sabotage directly impact putin ability mobilize destruction paper record,8
ukrainian 53rd mechanized brigade’s artillery scores a direct hit on a russian afv. #russia #ukraine  https://t.co/yvw2r3iasx,3175,ukrainian mechanized brigade artillery score direct hit afv ukraine,7
"#russia: a military munitions depot was blown up in khabarovsk krai (close to japan) by #russianresistance on may 12. military casualties reported.  a motorized rifle brigade from khabarovsk region was among those who carried out the massacre in #bucha, #ukraine. stock photo:  https://t.co/tb6v0lfv4q",3144,military munition depot blown khabarovsk krai close japan russianresistance  military casualty reported motorized rifle brigade khabarovsk region carried massacre bucha ukraine stock photo,7
just think about this man in front of his destroyed building when you cook your breakfast this sunday morning. #ukraine continues to need your support. #russia is yet to be stopped  https://t.co/s20pleoi0g,3103,man front destroyed building cook breakfast sunday morning ukraine continues support stopped,7
37 civilians killed by #russia along 7 km road uniting a village and a town in #ukraine: yasnohorodka-motyzhyn. bodies uncovered just today,3084,civilian killed road uniting village town ukraine yasnohorodkamotyzhyn body uncovered today,3
"#putin predicts ""record harvest"" of grain in #russia this year.  do you know why? because of all the grain they stole from #ukraine. #russian bulk carrier matros pozynich carrying the looted grain is currently in the #syrian port of #latakia, unloading.",3036,putin predicts record harvest grain year grain stole ukraine bulk carrier matros pozynich carrying looted grain currently syrian port latakia unloading,0
#russia has moved almost all its rocket launchers to the border with #ukraine. heavy rocket strikes are expected all across #ukraine tonight and in the early morning hours.  ,3001,moved rocket launcher border ukraine heavy rocket strike expected ukraine tonight early morning hour,7
"#russia, #siberia.  19 villages burned down during the latest forest fires that no one can put out because this was typically the army's job, but they are, as we know, mostly permanently unavailable, and there is literally no infrastructure to fight fires.  what a shitshow.  https://t.co/ni8e0wmiqf",2920,siberia village burned latest forest fire typically army job permanently unavailable literally infrastructure fight fire shitshow,9
 the @un general assembly has elected #czechrepublic to the seat on the human rights council vacated by #russia in april 2022. the czech republic retains the seat until 31 december 2023.  @czechunny @czechmfa  https://t.co/kqmjyidper,2827,general assembly elected czechrepublic seat human right council vacated april  czech republic retains seat december  czechunny czechmfa,6
"part 2 of the ukrainian artillery attack on the forward russian base in zabavne, kharkiv oblast. #russia #ukraine  https://t.co/xqswegccql",2810,ukrainian artillery attack forward base zabavne kharkiv oblast ukraine,7
volodymyr zelensky called on #us to officially recognize #russia as a state sponsor of terrorism:  “i count on support of the united states for further strengthening of sanctions. in addition we believe that russia should be officially recognized as a state sponsor of terrorism.”  https://t.co/a6gx9pyifn,2787,volodymyr zelensky called officially recognize state sponsor terrorism count support united state strengthening sanction addition officially recognized state sponsor terrorism,1
"#russia in saint petersburg, a man with an anti-war banner came to the official victory parade.  a spoiler: he was detained.  https://t.co/spuovlayzr",2770,saint petersburg man antiwar banner official victory parade spoiler detained,0
boobytrapped piano if a 10 yo girl in #bucha. the child’s awards were displayed in the wrong order and of course the mother noticed. tragedy was prevented. everyday such reminders of #russia cruelty come up in #ukraine  https://t.co/vykc7yct0r,2755,boobytrapped piano yo girl bucha child award displayed wrong order course mother noticed tragedy prevented everyday reminder cruelty ukraine,3
the exact moment ukrainian artillery struck the russian pontoon bridge near bilohorivka a few days ago. #russia #ukraine  https://t.co/svuwh05hta,2679,exact moment ukrainian artillery struck pontoon bridge bilohorivka day ago ukraine,7
most ships leaving occupied #sevastopol under russian flags carry grain stolen from #ukraine. their destination is mainly #syria. meanwhile #russia continues to steal food and agricultural produce across #ukraine,2656,ship leaving occupied sevastopol flag carry grain stolen ukraine destination syria continues steal food agricultural produce ukraine,4
u.s. sanctions are forcing #russia to use computer chips from dishwashers and refrigerators in some military equipment.  https://t.co/sdrp1jcjyd,2653,sanction forcing computer chip dishwasher refrigerator military equipment,5
"#russians have released this video of an interrogation and torture of a civilian in #kherson, making him admit to a crime he didn't commit under extreme duress.  note the wire attached to his ear. torture via electrocution.  #ukraine #russia #warcrimes  https://t.co/gmghqsvldx",2652,russian released video interrogation torture civilian kherson making admit crime didnt commit extreme duress note wire attached ear torture electrocution ukraine warcrimes,3
"moment of the strike that resulted in the destruction of the russian t-90m mbt by ukrainian tdf near staryi saltiv, kharkiv oblast. #russia #ukraine  https://t.co/tqdkkazqbk",2636,moment strike destruction tm mbt ukrainian tdf staryi saltiv kharkiv oblast ukraine,7
"at #azovstal in #mariupol, the #russians have started blowing up entrances to underground passages beneath the factory compound. these were revealed to them by an ex-shift supervisor at the plant, turned traitor and collaborator.  #ukraine #russia #warcrimes",2632,azovstal mariupol russian started blowing entrance underground passage beneath factory compound revealed exshift supervisor plant turned traitor collaborator ukraine warcrimes,3
"great country - great in everything!   one of the central streets in #lipetsk, #russia.  https://t.co/tntbbbxo5u",2603,great country  great central street lipetsk,0
"#breaking #russia threatens with ""military measures"" to ""eliminate the threats"" posed by sweden and finland's accession to #nato",2594,breaking threatens military measure eliminate threat posed sweden finland accession nato,8
the riga parliament voted for the demolition of the monument to soviet soldiers  the governor of the #leningrad region made a proposal to pick it up from #riga and install it in #russia.  https://t.co/elhqmjkrut,2536,riga parliament voted demolition monument soviet soldier governor leningrad region proposal pick riga install,0
"video of azov combatants raiding russian positions in azovstal area, mariupol city. #russia #ukraine  https://t.co/p6zwekrvhh",2498,video azov combatant raiding position azovstal area mariupol city ukraine,3
reportedly a russian tank being destroyed with a fgm-148 javelin by the ukrainian 25th airborne brigade. #russia #ukraine  https://t.co/n5bkblvzma,2446,reportedly tank destroyed fgm javelin ukrainian airborne brigade ukraine,7
footage of a building used by the russian army as ammunition depot destroyed by ukrainian territorial defense forces (azov - dnipro). #russia #ukraine  https://t.co/xnnodpk7rf,2446,footage building army ammunition depot destroyed ukrainian territorial defense force azov  dnipro ukraine,7
"chancellor scholz accused #putin of ""lack of realism"" after a telephone conversation with him. ""putin harms #russia,"" scholz stressed, pointing to russia's growing technological isolation as a result of sanctions.  https://t.co/s6kcrirqvk",2445,chancellor scholz accused putin lack realism telephone conversation putin harm scholz stressed pointing russia growing technological isolation result sanction,5
"volodymyr zelenskyy recorded a video thanking the military of the 127th brigade, who reached the state border with #russia.  https://t.co/2qf5noj5ld",2415,volodymyr zelenskyy recorded video thanking military brigade reached state border,1
freedom of #russia legion published new photos of its fighters.  https://t.co/8u3ezdny9t,2408,freedom legion published photo fighter,0
#ukraine: a captured #russia-n gaz-tigr-m imv repainted with the ukrainian army camo.  https://t.co/afo1mzw4va,2383,ukraine captured gaztigrm imv repainted ukrainian army camo,7
"pows from dnr/lnr in the east. first normal meal in a while. no weapons training, no experience. cannon fodder for #russia's imperial dreams. time to wake the fuck up.  glory to #ukraine   https://t.co/huoozncntn",2352,pow dnrlnr east normal meal weapon training experience cannon fodder russia imperial dream time wake fuck glory ukraine,0
the mayor of #kyiv said that about 40 monuments connected with #russia and the #ussr would be dismantled in the capital.  https://t.co/ygkjh6ya7p,2332,mayor kyiv monument connected ussr dismantled capital,0
#russia's international reserves fell by a billion dollars in a week.  https://t.co/slixxowbik,2298,russia international reserve fell billion dollar week,1
the irony is tomorrow #russia will be celebrating the end of war in #europe however at the same time he has declared war in #europe #slavaukraine ,2249,irony tomorrow will celebrating war europe time declared war europe slavaukraine,0
we congratulate #russia on the anniversary of victory day   https://t.co/vyyqhstfpn,2241,congratulate anniversary victory day,0
"believe it or not, #russia still thinks it can capture #odesa. large presence of #russian warships in the black sea together with their continuous reinforcement of #crimea-#kherson regional boundary with mlrs and rocket launchers is a likely indication of another push coming.",2231,think capture odesa large presence warship black sea continuous reinforcement crimeakherson regional boundary mlrs rocket launcher indication push coming,4
"#russia was expelled from the international gas union, reports interfax.  https://t.co/wq7ow5fzsc",2227,expelled international gas union report interfax,5
video from the ukrainian 92nd mechanized brigade during the battles at the eastern front. #russia #ukraine  https://t.co/mftsir2zut,2215,video ukrainian mechanized brigade battle eastern front ukraine,7
drone footage showing a number of russian equipment destroyed as a result of ukrainian 81st airmobile brigade artillery strikes. #russia #ukraine  https://t.co/0v0tuu0wh5,2210,drone footage showing number equipment destroyed result ukrainian st airmobile brigade artillery strike ukraine,7
a russian mbt taken out by a nlaw in kharkiv oblast. via @herooftheday10  #russia #ukraine  https://t.co/ry7l5qdixn,2168,mbt nlaw kharkiv oblast herooftheday ukraine,7
"drone-dropped strikes by the ukrainian 93rd mechanized brigade against a russian tank in izyum axis, kharkiv oblast. #russia #ukraine  https://t.co/v2xc7flc47",2143,dronedropped strike ukrainian mechanized brigade tank izyum axis kharkiv oblast ukraine,7
"our allies  continue to police the skies over @nato's eastern flank  ensuring the security of allied air space 24/7/365  in response to #russia’s invasion of #ukraine , #nato has up to 30 aircraft on patrol at any moment  #securingtheskies  https://t.co/itktd2tocc",2139,ally continue police sky nato eastern flank ensuring security allied air space  response russia invasion ukraine  nato aircraft patrol moment securingtheskies,8
#siemens announced its termination of business in #russia.  https://t.co/qyevaskmi0,2086,siemens announced termination business,0
"another drone-dropped munition strikes footage, this one by the ukrainian 503rd separate marine battalion targeting russian forces at the eastern front. #russia #ukraine  https://t.co/qdlyl5pobn",2059,dronedropped munition strike footage ukrainian separate marine battalion targeting force eastern front ukraine,7
"a meat store in #kaliningrad region. the poster says: ""no man left behind. we will restore #russia's greatness"".  https://t.co/p5vanfcmvv",1997,meat store kaliningrad region poster man left will restore russia greatness,9
ukrainian drone-dropped munition strike on a russian tank (claimed to be a t-90 mbt) somewhere in southern ukraine. #russia #ukraine  https://t.co/y56izcebwc,1980,ukrainian dronedropped munition strike tank claimed t mbt southern ukraine ukraine,7
"first documented use of the domestically made ukrainian ""punisher"" drone during the war. as a result a russian forward base/gathering point was destroyed.  h/t @arslon_xudosi  #russia #ukraine  https://t.co/nhcvitgwli",1948,documented domestically ukrainian punisher drone war result forward basegathering point destroyed ht arslonxudosi ukraine,7
artillery shelling of the ukrainian 28th mechanized brigade on russian positions down in the southern front. #russia #ukraine  https://t.co/zava1cge4z,1898,artillery shelling ukrainian mechanized brigade position southern front ukraine,7
"#russia does not want to fight with #nato - #us secretary of defense lloyd austin    ""when you look at #putin's calculations, my point of view… is that russia does not want to come into conflict with the nato alliance,"" he said.",1891,fight nato  secretary defense lloyd austin putin calculation point view… conflict nato alliance,8
artillery units of the ukrainian 79th air assault brigade repelling russian armour attempt to infiltrate their positions. #russia #ukraine  https://t.co/xkelvbhyvq,1888,artillery unit ukrainian air assault brigade repelling armour attempt infiltrate position ukraine,7
"#ukraine has offered #russia to exchange wounded ukrainian soldiers who are on the territory of the #azovstal plant in mariupol for captured russian soldiers ""according to the standard rules for exchange of prisoners of war"",said deputy prime minister of ukraine irina vereshchuk.  https://t.co/mqnnti1tuh",1864,ukraine offered exchange wounded ukrainian soldier territory azovstal plant mariupol captured soldier standard rule exchange prisoner warsaid deputy prime minister ukraine irina vereshchuk,7
"the senate of the #czech republic recognized #russia's actions in #ukraine as ""genocide of the ukrainian people,"" ukrainian ambassador to #prague yevhen perebiynis stated on his page in one of the social networks.  https://t.co/liorqjyyrx",1855,senate czech republic recognized russia action ukraine genocide ukrainian people ukrainian ambassador prague yevhen perebiynis stated social network,6
fm #lavrov: over $300 bn was stolen from #russia. we have no right to let our people down and allow the west to keep up its thieving ways.  https://t.co/lfku2z9zkb,1852,fm lavrov  bn stolen people allow west keep thieving way,3
"source: direct from an insider on the ground in #moscow, #russia. the specifics &amp; structure of this plan will be published as soon as we can.",1820,source direct insider ground moscow specific structure plan will published,0
"two heroes died. the whole family was gone. their son was left an orphan. and i couldn't do anything... i, the entire command, all of us are fighting around the clock to save our men. you must understand that whole families are erased here.""  #ukraine #russia #warcrimes",1820,hero died family son left orphan entire command fighting clock save men understand family erased ukraine warcrimes,3
"#russia considers #finland's accession to #nato as a threat, said putin's press secretary dmitry peskov.  https://t.co/y7s3uspyjv",1819,considers finland accession nato threat putin press secretary dmitry peskov,8
"during an interview @arestovych was asked about his predictions and how sometimes he gets it wrong.  his answer was that although his predictions are impeccable, they don't always come true because he sometimes forgets to factor in #russia's unpredictable idiocy.  spot on.",1808,interview arestovych asked prediction wrong answer prediction impeccable dont true forgets factor russia unpredictable idiocy spot,3
" #britain announced a new package of sanctions against #russia and #belarus.   it concerns trade for 1.7 billion pounds - import duties will affect goods for 1.4 billion pounds, including platinum and palladium. the size of the duty will be 35%.",1804,britain announced package sanction belarus concern trade  billion pound  import duty will affect good  billion pound including platinum palladium size duty will ,1
"had a timely call with @swedishpm magdalena andersson.  estonia fully supports the steps #sweden is making towards #nato membership. if you so decide, we are welcoming you with open arms.   also discussed #russia’s war in #ukraine and the need for sustained support to ukraine.",1790,timely call swedishpm magdalena andersson estonia fully support step sweden making nato membership decide welcoming open arm discussed russia war ukraine sustained support ukraine,8
video released of the ukrainian 59th mechanized brigade counter-battery fire striking russian 2s19 msta-s self propelled howitzers and 122mm 2a18 (d-30) howitzers. #russia #ukraine  https://t.co/1pgtphlxqx,1787,video released ukrainian mechanized brigade counterbattery fire striking mstas propelled howitzer mm howitzer ukraine,7
"why am i getting a little feeling that #macron is a greater friend of #russia, than the united kingdom?  https://t.co/gbcpxm05up",1781,feeling macron greater friend united kingdom,0
ukrainian 503rd separate marine battalion released footage of drone-dropped munition strike on a russian mbt somewhere at the eastern front. #russia #ukraine  https://t.co/hzm0jot4gr,1764,ukrainian separate marine battalion released footage dronedropped munition strike mbt eastern front ukraine,7
"in his speech, #putin claims that #russia is fighting on its own soil.  https://t.co/7dkycathst",1755,speech putin claim fighting soil,0
"fighters of the ""freedom of #russia legion"" honored the memory of those who died for the freedom and independence of their homeland during the great patriotic war.  https://t.co/l0bfmtdyax",1754,fighter freedom legion honored memory died freedom independence homeland great patriotic war,0
