tweet,likes_count,tweetFiltrado,topico
new carplay experience #wwdc22  https://t.co/5rpbfax0nf,975,carplay experience,1
"apple announces next generation of carplay with widgets, climate control, and a customizable instrument cluster at #wwdc22  https://t.co/ipee2vv4tr",939,apple announces generation carplay widget climate control customizable instrument cluster,1
you can now unsend a message in ios 16 #wwdc22  https://t.co/xkgywp92jp,914,unsend message io 16,3
apple is definitely making a car #wwdc22  https://t.co/njqlcxn88q,902,apple definitely making car,0
best feature of the day wtf #wwdc22  https://t.co/tjuq03nd5x,897,best feature day wtf,5
the lock screen in ios 16 now features widgets! including live weather animations #wwdc22  https://t.co/d1yjqdntxc,828,lock screen io 16 feature widget including live weather animation,3
weather! for! ipad! #wwdc22  https://t.co/rv1bf5eiom,826,weather ipad,7
you can unsend and edit imessages in ios 16 #wwdc22  https://t.co/kqttejir5o,813,unsend edit imessages io 16,3
they did it. ipados 16. my god. #wwdc22,803,ipados 16 god,3
a weather app is finally coming to ipad! thank you apple! #wwdc22  https://t.co/uwpaujubrw,786,weather app finally coming ipad apple,0
"as always, we love to see it #wwdc22  https://t.co/qec5wenxlb",783,love,0
couldn’t make it in person to #wwdc22 this year as i’m away but i’ll be live tweeting from here   https://t.co/8k64plsb5c,731,person year live tweeting,5
holy moly the new macbook air looks amazing. #wwdc22  https://t.co/gftkeolon2,730,holy moly macbook air amazing,8
apple announces edit and undo imessages feature on ios 16 #wwdc22  https://t.co/4nblfq8y6a,715,apple announces edit undo imessages feature io 16,3
"excited about these new running features coming to the apple watch.   you can measure stride length, ground contact time and vertical oscillation + new workout option that’ll let you focus on speed, endurance, or time intervals and give you haptic or voice feedback!  #wwdc22  https://t.co/nic77yh7qu",712,excited running feature coming apple watch measure stride length ground contact time vertical oscillation  workout option focus speed endurance time interval haptic voice feedback,9
oh m2 baby!!! #wwdc22  https://t.co/utvq3k0ese,708,m2 baby,4
"these are the ios 16 supported devices. iphone 6s, iphone 7, and iphone se (1st gen) are no longer supported. ios 16 will be available later this year #wwdc22  https://t.co/plgjgvklqr",702,io 16 supported device iphone 6 iphone 7 iphone se 1st gen longer supported io 16 year,3
omg you can lift an image and basically cut it out of an image and send it in messages on ios 16 #wwdc22  https://t.co/qbo9vek96a,692,omg lift image basically cut image send message io 16,3
the weather app is coming to ipados 16 #wwdc22  https://t.co/a2lyv0cl2x,686,weather app coming ipados 16,3
notifications moved to the bottom of the lock screen so they don't cover the wallpaper #ios16  #wwdc22  https://t.co/3qq5als66q,679,notification moved bottom lock screen cover wallpaper #ios16,3
apple drops support for iphone 7 and older with ios 16 #wwdc22,664,apple drop support iphone 7 older io 16,3
like this tweet to get a special animation! #wwdc22  https://t.co/krrfvnvbbq,659,tweet special animation,5
"apple is changing how iphone users send text messages, introducing an upcoming ios 16 feature that will allow people to edit - or ""undo send"" - a text after it is sent through imessage. #wwdc22.  https://t.co/c6tw8q8r5z",653,apple changing iphone user send text message introducing upcoming io 16 feature allow people edit undo send text imessage,3
with @hollyborla at #wwdc22   https://t.co/kilddhjdxd,646,@hollyborla,0
like this tweet and watch the like button  #wwdc22  https://t.co/denaj2ou8x,644,tweet watch button,5
are they trying to tell us craig is the next ceo or hahahaha #wwdc22 these transitions are hilarious,614,craig ceo hahahaha transition hilarious,5
1 hour until ios 16 #wwdc22,603,1 hour io 16,3
"apple #wwdc22 event starts in about 1.5hrs from now.   anything specific you guys are looking forward towards that you wish to see in todays event.   i am looking forward toward to see new macbook air launch, but will probably be buying the 16"" macbook pro laptops soon for work.  https://t.co/e3rczuje92",603,apple event start 15hrs specific guy forward today event forward macbook air launch buying 16 macbook pro laptop work,8
"all new profiles are available for download, including ios 16, ipados 16, watchos 9, macos ventura, and tvos 16.  #wwdc22 #betaprofiles  https://t.co/ydlebrwvvt",591,profile download including io 16 ipados 16 watchos 9 macos ventura tvos 16 #betaprofiles,3
apple will let you use your iphone as a webcam with continuity #wwdc22  https://t.co/pzgzfdcm06,590,apple iphone webcam continuity,0
lock screen customization in ios 16 #wwdc22  https://t.co/rmboqtsakx,586,lock screen customization io 16,3
i need one of these track suits stat! #wwdc22  https://t.co/hg7j4zxbbm,584,track suit stat,9
game changer: apple announces you can now edit messages.  twitter really is the last app on earth to not have edit options. #wwdc22   https://t.co/ovmsky00dw  https://t.co/01rxqaowo1,579,game changer apple announces edit message twitter app earth edit option,3
like this tweet if you’re ready. #wwdc22,572,tweet ready,5
quick glance at everything new coming in ios 16! #wwdc22  https://t.co/qdn5jrywfk,568,quick glance coming io 16,3
"code one, code all. #wwdc22   https://t.co/wyhwmoix62",563,code code,0
"enjoy #wwdc22, beta profiles website will be under maintenance now in preparation for new profiles. we'll be back once apple drops new profiles into the developer center. so check me out after the keynote.  https://t.co/66urrzaltb",557,enjoy beta profile website maintenance preparation profile apple drop profile developer center check keynote,5
parents are just screentime dealers for their kids #wwdc22,554,parent screentime dealer kid,0
this carplay update looks pretty wild. how many of you guys use carplay? #wwdc22  https://t.co/fuburslpnf,550,carplay update pretty wild guy carplay,1
ios 16 gets an all new lock screen #wwdc22  https://t.co/dlakrbhloo,544,io 16 lock screen,3
imessage ya ha superado a whatsapp.  #wwdc22,529,imessage ha superado whatsapp,0
you can add widgets to your lock screen in ios 16 #wwdc22  https://t.co/s6qfxkoujy,514,add widget lock screen io 16,3
safety check allows users to disable location and data in abuse relationships #wwdc22  https://t.co/vsuosauogi,506,safety check allows user disable location data abuse relationship,2
bring on #wwdc22!  https://t.co/7tbqmzjrqm,501,bring,0
this is the new 13” macbook pro #wwdc22  https://t.co/4beruns7tc,500,13 macbook pro,8
can’t believe #wwdc22 starts in just under an hour.  where did the go this year?,495,start hour year,5
my friend had an ex who would monitor her convos via an ipad they left behind at their place. super creepy because he’d comment on her convos.   she immediately came to mind on this. apple’s safety check would have helped her in escaping his grasp. really really happy #wwdc22,492,friend monitor convos ipad left place super creepy comment convos mind apple safety check helped escaping grasp happy,2
amazing. imessage got an edit button before twitter. #wwdc22,492,amazing imessage edit button twitter,3
"apple announces redesigned macbook air with m2 chip and magsafe. starting at $1,199 #wwdc22  https://t.co/xsm3zsjjvf",490,apple announces redesigned macbook air m2 chip magsafe starting 1199,8
the new macbook air colors #wwdc22  https://t.co/ympbbdoi0j,484,macbook air color,8
"who’s ready for the big day?   (i’m sitting inside – it’s going to be a great day, but keynote + sotu in direct sun would be more than i can handle, even with sunscreen!) #wwdc22  https://t.co/c5mxybvofn",482,ready big day sitting inside – going great day keynote  sotu direct sun handle sunscreen,5
"nice to see this beautiful ""windows laptop"" at wwdc again.   #wwdc22  https://t.co/majxc6x4kz",481,nice beautiful window laptop,7
you can edit messages in ios 16 #wwdc22  https://t.co/t8bywfaeap,468,edit message io 16,3
weather app on ipad. i can die in peace  #wwdc22  https://t.co/e3uhdif2a1,466,weather app ipad die peace,7
magsafe is coming to macbook air #wwdc22  https://t.co/xibpbucfyh,459,magsafe coming macbook air,8
full external display support for ipad!  #wwdc22  https://t.co/hdqqzml0mw,448,full external display support ipad,6
new macbook air. #wwdc22  https://t.co/kfofr9h93h,445,macbook air,8
"this is watchos 9, coming later this year #wwdc22  https://t.co/ot3cws1ars",445,watchos 9 coming year,9
i'm just giggling like an idiot over here. #wwdc22,442,giggling idiot,0
"say hi to some of apple's new lock screens—now with the ability to customize fonts, colors, and widgets in ios 16. #wwdc22  https://t.co/x7qjhwx0tk",441,apple lock screens—now ability customize font color widget io 16,3
repping @1password at #wwdc22!  https://t.co/wbngmgdwyx,440,repping @1password,0
hello  @mrwhosetheboss #wwdc22  https://t.co/xqaa4l3dko,434,hello @mrwhosetheboss,0
apple adds overlapping windows to ipad with stage manager #wwdc22  https://t.co/2fdd9jmnpr,433,apple add overlapping window ipad stage manager,7
"two ios 16 details apple didn't mention during the keynote:  - ios 16 is iphone 8 or later  - there is a brand new mail app (!) with support for scheduling messages, remind me later, follow up suggestions, and all-new search #wwdc22  https://t.co/mbq8p0rwah",433,io 16 detail apple mention keynote io 16 iphone 8 brand mail app  support scheduling message remind follow suggestion all-new search,3
all new lock screen...#ios16..#wwdc22  #tgfamily  https://t.co/csii3q45av,429,lock screen#ios16#wwdc22 #tgfamily,3
widgets can now be added on the lock screen #ios16  #wwdc22  https://t.co/dx7e0osegh,425,widget lock screen #ios16,3
"the new macbook air starts at $1199 and the new 13” macbook pro starts at $1299, available next month #wwdc22  https://t.co/qhb1vu65jh",420,macbook air start 1199 13 macbook pro start 1299 month,8
quick glance at everything new in watchos 9 #wwdc22  https://t.co/fyg3xjm8hf,416,quick glance watchos 9,9
you can now customize your lock screen in ios 16 #wwdc22  https://t.co/tqrctaldmq,415,customize lock screen io 16,3
apple introduces the new macbook air #wwdc22  https://t.co/gv0beyhr15,414,apple introduces macbook air,8
are you ready for it?   #wwdc22 #betaprofiles  https://t.co/0znp1hnoph,405,ready #betaprofiles,5
new home app in ios 16 #wwdc22  https://t.co/bfdhtypp0y,403,app io 16,3
happy #wwdc22. my first as an apple engineer.,402,happy apple engineer,0
30 minutes until #wwdc22,401,30 minute,5
the new macbook air has a larger 13.6” display and a notch #wwdc22  https://t.co/2cml8to43r,398,macbook air larger 136 display notch,6
new watch faces in watchos 9 #wwdc22  https://t.co/jc3d16uuk9,395,watch face watchos 9,9
"this is macos ventura, coming later this year #wwdc22  https://t.co/ipou7els90",394,macos ventura coming year,7
"get paycheck from apple inc., spend paycheck at apple store, repeat  #wwdc22",390,paycheck apple spend paycheck apple store repeat,0
add multiple stops during navigation in ios 16 #wwdc22  https://t.co/du0yet3erk,387,add multiple stop navigation io 16,3
apple's fitness app no longer requires an apple watch  https://t.co/jfheaohnbk #wwdc22  https://t.co/i29amwlzut,386,apple fitness app longer requires apple watch,9
apple park! i am insiiiiiiiiide you! #wwdc22  https://t.co/qo8eptbiuv,384,apple park insiiiiiiiiide,0
"this is ipados 16, coming later this year #wwdc22  https://t.co/lugtynldgb",377,ipados 16 coming year,3
apple announces apple pay later. this will split a payment into four equal payments over six weeks at 0% interest. #wwdc22  https://t.co/mnvqr0utuw,376,apple announces apple pay split payment equal payment week 0 interest,0
new charger dual usb-c for macbook air #wwdc22  https://t.co/ynyrtvalvk,375,charger dual usb-c macbook air,8
"not only can you delete and unsend texts in apple's new ios 16, but now you can use shareplay in messages too to watch shared content with others.  #wwdc22",375,delete unsend text apple io 16 shareplay message watch shared content,3
battlestations. #wwdc22  https://t.co/sisggvktbs,368,battlestations,0
"wow, the halide team at apple park!   we’re so excited for today. thanks to everyone at apple for making this huge event happen. #wwdc22  https://t.co/dlydv43pmb",361,wow halide team apple park excited today apple making huge event happen,5
it's time now...#wwdc22  #tgfamily  https://t.co/vmduid540s,361,time now#wwdc22 #tgfamily,0
"having your app icon shown on a wwdc keynote slide might not mean much in the big picture but as an ios developer who has been developing for the platform for over 10 years, this is a dream coming true  #wwdc22  https://t.co/icdlkztsjg",360,app icon keynote slide big picture io developer developing platform 10 year dream coming true,5
"apple introduces passkeys, passwords kept on your devices across all devices #wwdc22  https://t.co/oxl8ghbsdx",358,apple introduces passkey password device device,0
first time visiting apple park! #wwdc22  https://t.co/evjaasbvmg,353,time visiting apple park,0
new carplay ui.  #wwdc22  https://t.co/pehshhssd8,352,carplay ui,1
finally seeing changes to the lockscreen! love this. #wwdc22,351,finally change lockscreen love,3
#wwdc22 new macbook air with m2!   https://t.co/zoxgm3chwy,351,macbook air m2,8
i don’t think people realise how game changing passkeys will be. #wwdc22,343,people realise game changing passkey,2
"the u.s. food and drug administration has granted approval to a new apple, $aapl, atrial fibrillation feature just hours before the company's #wwdc22  keynote.",340,food drug administration granted approval apple aapl atrial fibrillation feature hour company keynote,0
coachella but at apple park! #wwdc22  https://t.co/z5m0fbknhk,339,coachella apple park,0
customize your lock screen with new ios 16!! sweet #wwdc22  https://t.co/jjn0qix2n2,339,customize lock screen io 16 sweet,3
ios 16 runs on iphone 8 and later.  #wwdc22  https://t.co/uvq0lj3jxm,337,io 16 run iphone 8,3
"edit, unsend and mark as unread on imessage #ios16  #wwdc22  https://t.co/qu7djzthkn",337,edit unsend mark unread imessage #ios16,3
notifications can now be packed up in ios 16 #wwdc22  https://t.co/cykou3lech,335,notification packed io 16,3
this is the m2 chip #wwdc22  https://t.co/wpdjrowwfx,334,m2 chip,4
apple m2 overview  #wwdc22  https://t.co/enkczqm0cj,332,apple m2 overview,0
"apple just announced ios 16, the latest software for iphones, with an updated lock screen and more. #wwdc22  https://t.co/adgedp5inm  https://t.co/yosetj1a6y",325,apple announced io 16 latest software iphones updated lock screen,3
edit and unsend with mark as unread options available in imessage now..#ios16 #wwdc22 #tgfamily  https://t.co/lebxst4hwm,324,edit unsend mark unread option imessage now#ios16 #tgfamily,3
as was busy with tg 2.0 couldn't make it to #wwdc22 but yahi se sab kuch post karte hai...#tgfamily,320,busy tg 20 yahi se sab kuch post karte hai#tgfamily,4
ngl the updates to carplay is what i’m most excited about so far. this is awesome. #wwdc22  https://t.co/d022hhvpwz,319,ngl update carplay excited awesome,1
thoughts on these new apple watch faces? #wwdc22  https://t.co/bvybw9hzju,317,thought apple watch face,9
lmao craig entrances are always extra  #wwdc22,317,lmao craig entrance extra,5
use your iphone as a web cam with continuity camera on #macosventura   #wwdc22  https://t.co/f6j1zdhe8a,313,iphone web cam continuity camera #macosventura,7
new mac pro is so thin i didn’t even see it in the #wwdc22 keynote.,312,mac pro thin keynote,5
undo send is finally here  #apple #wwdc #wwdc22 #wwdc2022 #ios16  https://t.co/uhac3wymp5,310,undo send finally #apple #wwdc #wwdc2022 #ios16,3
apple making it easy to unsend them 2am “you up” text  #imessage #wwdc22,309,apple making easy unsend 2am text #imessage,0
editing &amp; undo send in imessage!  #wwdc22  https://t.co/2h0knbeecz,307,editing undo send imessage,3
"this is apple’s new 35w compact power adapter with two usb-c ports, so users can charge two devices at once #wwdc22  https://t.co/rawkjsgfof",303,apple 35w compact power adapter usb-c port user charge device,6
literally help. #wwdc22  https://t.co/pekpannptu,302,literally help,2
"we're minutes away from apple's #wwdc22, where new features for mac, iphone, and ipad are expected. our team will be live blogging the event, and we'll be threading updates under this tweet so you can follow along wherever you are: (thread)    https://t.co/azeujbvkt3",302,minute apple feature mac iphone ipad expected team live blogging event threading update tweet follow thread,5
good morrrniiiiing! #wwdc22  https://t.co/hktmnv8q3g,299,good morrrniiiiing,5
apple introduces the m2 chip #wwdc22  https://t.co/rvzwyylxxy,294,apple introduces m2 chip,4
that’s everything with #wwdc22  ios 16 ipados 16 watchos 9 macos ventura  new macbook air updated 13-inch macbook pro  https://t.co/nog7hvg2qw,293,io 16 ipados 16 watchos 9 macos ventura macbook air updated 13-inch macbook pro,8
finally! #wwdc22  https://t.co/siwfwxivup,292,finally,0
apple will let you use iphones for video chats on mac (because its webcams stink)  https://t.co/vkupapqbkf #wwdc22  https://t.co/pq73hrzywv,292,apple iphones video chat mac webcam stink,0
apple unveils new lock screen with ios 16 at #wwdc22  https://t.co/2slh8yldk5,289,apple unveils lock screen io 16,3
lots of upgrades with m2. #wwdc22  https://t.co/ppy8jyywzr,286,lot upgrade m2,4
a weather app for ipados?! at last!  #wwdc22  https://t.co/j0eqey4yli,285,weather app ipados,9
at the spaceship! #wwdc22  https://t.co/wtsz7zmrqz,284,spaceship,0
m1 vs m2 chips #wwdc22  https://t.co/qeux0b3t2n,284,m1 m2 chip,4
live text in video in ios 16 #wwdc22  https://t.co/wfldckn3bo,283,live text video io 16,3
is this the fix for the studio display webcam? #wwdc22  https://t.co/yiymfzlc2o,283,studio display webcam,6
"the new stage manager feature in macos ventura, an easy way to manage all your open windows #wwdc22  https://t.co/2xwrm6ez9o",281,stage manager feature macos ventura easy manage open window,7
"going to need time to process ipados 16 properly. first reaction:  this feels exactly like what apple should have done for ipad. embrace its modularity: make it a computer that supports touch, pencil, *and* mac-like features, reimagined for ipad. let's go.   #wwdc22",280,going time process ipados 16 properly reaction feel exactly apple ipad embrace modularity computer support touch pencil mac-like feature reimagined ipad,7
"when it comes to keynotes, no other brand comes close to @apple #wwdc22  #tgfamily",280,keynote brand close @apple #tgfamily,5
the new maps is coming to these countries later this year #wwdc22  https://t.co/i6mlukz74x,280,map coming country year,5
so excited for the new lock screen to get in everyone’s hands! incredibly proud and fortunate to work with some amazing folks on it #wwdc22,279,excited lock screen everyones hand incredibly fortunate work amazing folk,3
that intro was sick…#wwdc22  https://t.co/usmdlpnwpd,279,intro sick#wwdc22,0
"look at this logo for a minute, nigerian clients, life is not hard  #wwdc22  https://t.co/lemkphb6tt",279,logo minute nigerian client life hard,5
#wwdc22 is about to kick off. see you on the other side!  https://t.co/2qph2yghms,279,kick side,7
apple m2  #wwdc22  https://t.co/8268rhgimm,279,apple m2,0
weather is finally coming to ipad lol #wwdc22  https://t.co/rr8ebg4g3z,278,weather finally coming ipad lol,7
craig federighi with the smooth transitions of course  #wwdc22  https://t.co/pnpvmeiovz,278,craig federighi smooth transition course,5
you can now see apps that support shareplay during a facetime call in ios 16 #wwdc22  https://t.co/09nnq2tswh,278,apps support shareplay facetime call io 16,3
"new macbook air  -powered by m2 -13.6"" liquid retina display (with smaller bezels and notch) -500nits -20% reduced volume -11.3mm thin -2.7 pounds -4 finishes -magsafe support -1080p facetime camera -magic keyboard with touchid -fast charge supported  from $1199  #wwdc22  https://t.co/gjtdwunzpb",276,macbook air -powered m2 -136 liquid retina display smaller bezel notch -500nits -20 reduced volume -113mm thin -27 pound -4 finish -magsafe support -1080p facetime camera -magic keyboard touchid -fast charge supported 1199,6
apple announces new flagship m2 processor at #wwdc22  https://t.co/drddinaq5s  https://t.co/od7beofckv,274,apple announces flagship m2 processor,4
more detailed sleep tracking in watchos 9 #wwdc22  https://t.co/gr5mimyeu1,273,detailed sleep tracking watchos 9,9
#wwdc22  ios 16 new lock screen!  https://t.co/auc6jgwp8b,271,io 16 lock screen,3
the 13” macbook pro will also feature an m2 chip #wwdc22  https://t.co/b3vyg9kak0,271,13 macbook pro feature m2 chip,8
goodbye wedge shape  the new #macbookair with m2 pretty. i bet it's battery life is like 7 days. #wwdc22  https://t.co/exwqg4vmpe,269,goodbye wedge shape #macbookair m2 pretty bet battery life 7 day,8
apple previews a new app called freeform - a new collaboration board #wwdc22  https://t.co/6yxmyo33ky,268,apple preview app called freeform collaboration board,7
multiple resizable windows with stage manager on ipados 16 #wwdc22  https://t.co/pt5y8qsdcg,268,multiple resizable window stage manager ipados 16,7
and that's a wrap for #wwdc22   what was your favourite announcement?   https://t.co/6yi0l6x5qi,267,wrap favourite announcement,5
legit so confused how this is supposed to work #wwdc22,267,legit confused supposed work,0
"another game changer: apple wallet will soon have in-app id verification. so instead of taking out your license, you would just show the app to prove you're 21.  follow #wwdc22 live right here:   https://t.co/rqb0zyn5nw  https://t.co/tctd1pqnih",265,game changer apple wallet in-app verification license app prove 21 follow live,0
#wwdc22 new carplay looks awesome   https://t.co/r1dmgujuez,265,carplay awesome,1
apple pay is also introducing order tracking. everyone's screen time is going to skyrocket. #wwdc22  https://t.co/oayivmqpbb,265,apple pay introducing order tracking everyones screen time going skyrocket,0
"wait, desk view on continuity camera will use your ultrawide camera and image processing to give you a top down view in addition to the main  #wwdc22 #macosventura  https://t.co/amzs3u9j9z",264,wait desk view continuity camera ultrawide camera image processing top view addition main #macosventura,7
the devil is in the details #wwdc22    afc richmond   https://t.co/stx0swdw2i,262,devil detail afc richmond,0
new macbook air! looking crazy thing. #wwdc22  https://t.co/r4vmxia6h9,260,macbook air crazy thing,8
apple pay later lets you split your payments into 4 equal payments with 0 percent interest and fees   #wwdc22  https://t.co/bwk67gajxa,257,apple pay split payment 4 equal payment 0 percent interest fee,0
.@camila_cabello’s ‘quiet’ was featured during apple’s #wwdc22 event.  (via @stankarla)  https://t.co/enxdmoszxr,256,@camila_cabellos quiet featured apple event @stankarla,0
new parental controls in ios 16 #wwdc22  https://t.co/0pvhhk6gbp,254,parental control io 16,3
"apple to iphone 6s, iphone 6s plus, iphone se and iphone 7 users who will not be able to use ios 16 #wwdc22  https://t.co/1uzfjcme5d",253,apple iphone 6 iphone 6 iphone se iphone 7 user io 16,0
new macbook air #wwdc22     - m2   - liquid retina display with a notch at 13.6 inches   - wedge shape is gone   - 2.7 pounds   - 4 colors   - magsafe   - high impedance headphone jack   - 1080p camera   - fanless   - 18 hours of battery   - new charger   - supports fast charging  https://t.co/ie1mol2ffp,253,macbook air m2 liquid retina display notch 136 inch wedge shape 27 pound 4 color magsafe high impedance headphone jack 1080p camera fanless 18 hour battery charger support fast charging,6
new watchos 9 watch faces. #wwdc22  https://t.co/pe3v4sk1nt,251,watchos 9 watch face,9
"apple's pay later feature, coming to ios 16, gives users the ability to make a purchase over time with 0% interest. here's what it looks like:  #wwdc22  https://t.co/qqctpy5mzv",250,apple pay feature coming io 16 user ability purchase time 0 interest,0
that was a huge ipad os update. here's a summary! #wwdc22  https://t.co/5wwgdzzbmv,248,huge ipad o update summary,7
3 new features to messages in ios 16  1. edit anything you just sent 2. undo send  3. mark threads as unread  #wwdc22  https://t.co/ztlgau4ejt,248,3 feature message io 16 1 edit 2 undo send 3 mark thread unread,3
the new macbook air features a 1080p camera #wwdc22  https://t.co/jhioy9ijut,247,macbook air feature 1080p camera,8
like this tweets for new animations #wwdc22 please max like,246,tweet animation max,5
new lock screens on #iost   #wwdc22  https://t.co/hpjih2sn1w,246,lock screen #iost,3
ios 16 = material you ?  #wwdc22 #android #apple,245,io 16  material  #android #apple,3
this is ipados 16 #wwdc22  https://t.co/mevh0smbey,245,ipados 16,3
ummmm ok new car play!! #wwdc22  https://t.co/3dk9dgrhnw,245,ummmm car play,1
"i just love these transitions, man! #wwdc22  https://t.co/a8iwwpg3sq",244,love transition man,0
continuity camera.. use your iphone as a web cam....but how would i scroll tiktok while on video calls? #wwdc22  https://t.co/m24esct5hb,242,continuity camera iphone web cambut scroll tiktok video call,7
ladies and gentlemen:  we have a weather app  #wwdc22  https://t.co/fuwgcukt6s,241,lady gentleman weather app,9
new macbook air with m2!!! #wwdc22  https://t.co/sbinsolxee,239,macbook air m2,8
show me your #wwdc22 setup   https://t.co/5o9rwxbfwf,238,setup,0
apple m2 chip  -second gen 5nm architecture -100gb/s memory bandwidth -24gb unified memory -10-core gpu -18% greater cpu performance* -35% higher gpu performance* -40% faster neural engine*  *compared to m1  #wwdc22  https://t.co/yu0tcfudxj,236,apple m2 chip -second gen 5nm architecture -100gbs memory bandwidth -24gb unified memory -10-core gpu -18 greater cpu performance -35 higher gpu performance -40 faster neural engine compared m1,4
“the same great form factor” aka it looks the same. #wwdc22  https://t.co/wgsahvk1ym,234,great form factor aka,9
icloud shared photo library: you can share photos with specific groups of people in ios 16. you can also directly take a shared photo in camera #wwdc22  https://t.co/c323xxxiba,230,icloud shared photo library share photo specific group people io 16 directly shared photo camera,2
